,PLAYER_ID,label,DISPLAY_FIRST_LAST
316,202689.0,18,Kemba Walker
59,201144.0,18,Mike Conley
160,202681.0,18,Kyrie Irving
68,201939.0,18,Stephen Curry
25,203078.0,18,Bradley Beal
300,202691.0,18,Klay Thompson
212,203468.0,18,CJ McCollum
317,202322.0,18,John Wall
35,1626164.0,18,Devin Booker
204,200768.0,18,Kyle Lowry
31,204028.0,17,Tarik Black
237,203512.0,17,Lucas Nogueira
241,203124.0,17,Kyle O'Quinn
235,201149.0,17,Joakim Noah
246,2585.0,17,Zaza Pachulia
23,203382.0,17,Aron Baynes
208,101133.0,17,Ian Mahinmi
283,1627783.0,17,Pascal Siakam
71,202334.0,17,Ed Davis
95,1626245.0,17,Cristiano Felicio
13,201600.0,17,Omer Asik
312,203943.0,17,Noah Vonleh
140,201579.0,17,Roy Hibbert
73,203473.0,17,Dewayne Dedmon
163,2210.0,16,Richard Jefferson
117,203924.0,16,Jerami Grant
207,202714.0,16,Shelvin Mack
118,203924.0,16,Jerami Grant
99,1627827.0,16,Dorian Finney-Smith
96,101109.0,16,Raymond Felton
321,1627785.0,16,Isaiah Whitehead
134,1626150.0,16,Andrew Harrison
299,203138.0,16,Hollis Thompson
90,203516.0,16,James Ennis III
83,201162.0,16,Jared Dudley
303,201229.0,16,Anthony Tolliver
147,203200.0,16,Justin Holiday
80,203915.0,16,Spencer Dinwiddie
167,101161.0,16,Amir Johnson
210,201601.0,16,Luc Mbah a Moute
297,202498.0,16,Lance Thomas
245,1626162.0,16,Kelly Oubre Jr.
249,202718.0,16,Chandler Parsons
275,201575.0,16,Brandon Rush
267,203922.0,16,Glenn Robinson III
334,1627835.0,16,Paul Zipser
277,1627734.0,16,Domantas Sabonis
29,202687.0,16,Bismack Biyombo
88,101145.0,15,Monta Ellis
145,203524.0,15,Solomon Hill
66,201967.0,15,Dante Cunningham
305,200782.0,15,PJ Tucker
250,202335.0,15,Patrick Patterson
20,2440.0,15,Matt Barnes
19,2440.0,15,Matt Barnes
306,200782.0,15,PJ Tucker
266,203460.0,15,Andre Roberson
77,2736.0,15,Luol Deng
155,2738.0,15,Andre Iguodala
158,204060.0,15,Joe Ingles
294,202066.0,15,Garrett Temple
120,201980.0,15,Danny Green
216,203585.0,15,Rodney McGruder
288,203503.0,15,Tony Snell
233,1626204.0,15,Larry Nance Jr.
280,200757.0,15,Thabo Sefolosha
282,202697.0,15,Iman Shumpert
3,201167.0,15,Arron Afflalo
49,1713.0,15,Vince Carter
48,201960.0,15,DeMarre Carroll
314,2548.0,14,Dwyane Wade
81,201609.0,14,Goran Dragic
4,200746.0,14,LaMarcus Aldridge
136,202330.0,14,Gordon Hayward
124,201933.0,14,Blake Griffin
270,201565.0,14,Derrick Rose
89,203954.0,14,Joel Embiid
10,2546.0,14,Carmelo Anthony
18,203084.0,14,Harrison Barnes
107,201188.0,14,Marc Gasol
257,204001.0,14,Kristaps Porzingis
187,203897.0,14,Zach LaVine
221,200794.0,14,Paul Millsap
203,201567.0,14,Kevin Love
32,202339.0,14,Eric Bledsoe
201,201572.0,14,Brook Lopez
247,203953.0,14,Jabari Parker
272,203082.0,13,Terrence Ross
231,1627750.0,13,Jamal Murray
218,201975.0,13,Jodie Meeks
215,203926.0,13,Doug McDermott
214,203926.0,13,Doug McDermott
169,2207.0,13,Joe Johnson
123,201145.0,13,Jeff Green
222,202703.0,13,Nikola Mirotic
224,202734.0,13,E'Twaun Moore
106,204038.0,13,Langston Galloway
137,201945.0,13,Gerald Henderson
271,203082.0,13,Terrence Ross
132,203925.0,13,Joe Harris
219,101139.0,13,CJ Miles
191,1627747.0,13,Caris LeVert
141,1627741.0,13,Buddy Hield
184,2594.0,13,Kyle Korver
182,202688.0,13,Brandon Knight
220,201988.0,13,Patty Mills
142,1627741.0,13,Buddy Hield
105,204038.0,13,Langston Galloway
87,201961.0,13,Wayne Ellington
14,201571.0,13,D.J. Augustin
91,201936.0,13,Tyreke Evans
17,200826.0,13,J.J. Barea
27,201158.0,13,Marco Belinelli
103,101112.0,13,Channing Frye
55,1627737.0,13,Marquese Chriss
54,201163.0,12,Wilson Chandler
154,201586.0,12,Serge Ibaka
308,1626167.0,12,Myles Turner
318,203933.0,12,TJ Warren
133,202699.0,12,Tobias Harris
172,203999.0,12,Nikola Jokic
65,203109.0,12,Jae Crowder
62,203496.0,12,Robert Covington
153,201586.0,12,Serge Ibaka
151,201143.0,12,Al Horford
225,202694.0,12,Marcus Morris
121,203110.0,12,Draymond Green
226,202693.0,12,Markieff Morris
37,202340.0,12,Avery Bradley
330,101107.0,12,Marvin Williams
255,203490.0,12,Otto Porter Jr.
114,203932.0,12,Aaron Gordon
261,203944.0,12,Julius Randle
11,2772.0,12,Trevor Ariza
44,202710.0,11,Jimmy Butler
323,203952.0,11,Andrew Wiggins
198,203081.0,11,Damian Lillard
72,201942.0,11,DeMar DeRozan
9,203507.0,11,Giannis Antetokounmpo
296,202738.0,11,Isaiah Thomas
195,202695.0,11,Kawhi Leonard
86,201142.0,11,Kevin Durant
109,202331.0,11,Paul George
194,203458.0,10,Alex Len
93,202702.0,10,Kenneth Faried
244,203482.0,10,Kelly Olynyk
239,203994.0,10,Jusuf Nurkic
236,203457.0,10,Nerlens Noel
230,203498.0,10,Shabazz Muhammad
228,202389.0,10,Timofey Mozgov
324,1626210.0,10,Alan Williams
52,1626161.0,10,Willie Cauley-Stein
193,101135.0,10,David Lee
189,203087.0,10,Jeremy Lamb
188,1627746.0,10,Skal Labissiere
129,1626149.0,10,Montrezl Harrell
186,201585.0,10,Kosta Koufos
26,201563.0,10,Michael Beasley
139,1626195.0,10,Willy Hernangomez
138,203089.0,10,John Henson
148,1626178.0,10,Rondae Hollis-Jefferson
143,2403.0,10,Nene
149,1626158.0,10,Richaun Holmes
332,201152.0,9,Thaddeus Young
122,203210.0,9,JaMychal Green
128,203090.0,9,Maurice Harkless
79,203476.0,9,Gorgui Dieng
254,203486.0,9,Mason Plumlee
301,202684.0,9,Tristan Thompson
180,203077.0,9,Michael Kidd-Gilchrist
2,203500.0,9,Steven Adams
253,203486.0,9,Mason Plumlee
53,2199.0,9,Tyson Chandler
6,202329.0,9,Al-Farouq Aminu
333,203469.0,9,Cody Zeller
116,101162.0,9,Marcin Gortat
165,201943.0,8,Brandon Jennings
40,1627763.0,8,Malcolm Brogdon
286,202397.0,8,Ish Smith
190,201951.0,8,Ty Lawson
76,203521.0,8,Matthew Dellavedova
307,202323.0,8,Evan Turner
164,201943.0,8,Brandon Jennings
268,200771.0,8,Sergio Rodriguez
213,204456.0,8,T.J. McConnell
98,1627812.0,8,Yogi Ferrell
269,200765.0,8,Rajon Rondo
177,202709.0,8,Cory Joseph
248,2225.0,8,Tony Parker
102,204025.0,8,Tim Frazier
100,203095.0,7,Evan Fournier
115,201569.0,7,Eric Gordon
45,203484.0,7,Kentavious Caldwell-Pope
104,201568.0,7,Danilo Gallinari
209,202083.0,7,Wesley Matthews
315,203079.0,7,Dion Waiters
251,101108.0,7,Chris Paul
279,203471.0,7,Dennis Schroder
146,201950.0,7,Jrue Holiday
292,201952.0,7,Jeff Teague
22,201587.0,7,Nicolas Batum
144,201588.0,7,George Hill
131,203914.0,7,Gary Harris
243,203506.0,7,Victor Oladipo
276,1626156.0,7,D'Angelo Russell
223,202328.0,6,Greg Monroe
36,202344.0,6,Trevor Booker
240,203994.0,6,Jusuf Nurkic
242,1626143.0,6,Jahlil Okafor
202,201577.0,6,Robin Lopez
47,203991.0,6,Clint Capela
173,203093.0,6,Terrence Jones
111,201959.0,6,Taj Gibson
94,202324.0,6,Derrick Favors
179,202683.0,6,Enes Kanter
262,2216.0,6,Zach Randolph
310,202685.0,6,Jonas Valanciunas
5,2754.0,6,Tony Allen
110,201959.0,6,Taj Gibson
197,202720.0,6,Jon Leuer
174,203093.0,6,Terrence Jones
108,2200.0,6,Pau Gasol
234,2749.0,5,Jameer Nelson
326,101114.0,5,Deron Williams
229,1626144.0,5,Emmanuel Mudiay
63,203459.0,5,Allen Crabbe
28,201976.0,5,Patrick Beverley
67,203552.0,5,Seth Curry
274,201937.0,5,Ricky Rubio
183,2594.0,5,Kyle Korver
287,2747.0,5,JR Smith
185,2594.0,5,Kyle Korver
285,203935.0,5,Marcus Smart
192,201584.0,5,Courtney Lee
24,203145.0,5,Kent Bazemore
252,203901.0,5,Elfrid Payton
325,101114.0,5,Deron Williams
265,203085.0,5,Austin Rivers
58,201954.0,5,Darren Collison
264,1626196.0,5,Josh Richardson
159,1627742.0,5,Brandon Ingram
97,1627812.0,5,Yogi Ferrell
290,203917.0,5,Nik Stauskas
15,202337.0,4,Luke Babbitt
12,201589.0,4,Darrell Arthur
16,1627758.0,4,Ron Baker
293,203141.0,4,Mirza Teletovic
85,1627739.0,4,Kris Dunn
196,203086.0,4,Meyers Leonard
56,203902.0,4,Semaj Christon
84,2399.0,4,Mike Dunleavy
78,2564.0,4,Boris Diaw
166,201973.0,4,Jonas Jerebko
319,201228.0,4,C.J. Watson
170,1626169.0,4,Stanley Johnson
311,1627756.0,4,Denzel Valentine
295,1891.0,4,Jason Terry
0,203518.0,4,Alex Abrines
46,203477.0,4,Isaiah Canaan
119,1626170.0,4,Jerian Grant
227,201627.0,4,Anthony Morrow
38,201147.0,4,Corey Brewer
39,201147.0,4,Corey Brewer
211,1627775.0,4,Patrick McCaw
42,203493.0,4,Reggie Bullock
176,201599.0,3,DeAndre Jordan
82,203083.0,3,Andre Drummond
152,2730.0,3,Dwight Howard
313,202696.0,3,Nikola Vucevic
113,203497.0,3,Rudy Gobert
322,202355.0,3,Hassan Whiteside
320,201566.0,2,Russell Westbrook
304,1626157.0,2,Karl-Anthony Towns
61,202326.0,2,DeMarcus Cousins
60,202326.0,2,DeMarcus Cousins
70,203076.0,2,Anthony Davis
162,2544.0,2,LeBron James
127,201935.0,2,James Harden
302,201977.0,1,Marcus Thornton
291,201155.0,1,Rodney Stuckey
289,201578.0,1,Marreese Speights
309,1627755.0,1,Tyler Ulis
298,203138.0,1,Hollis Thompson
327,202682.0,1,Derrick Williams
335,1627826.0,1,Ivica Zubac
284,203613.0,1,Jonathon Simmons
175,1627884.0,1,Derrick Jones Jr.
281,201196.0,1,Ramon Sessions
130,2734.0,1,Devin Harris
125,203120.0,1,Justin Hamilton
112,1938.0,1,Manu Ginobili
101,200751.0,1,Randy Foye
92,203957.0,1,Dante Exum
75,1627098.0,1,Malcolm Delaney
74,1626155.0,1,Sam Dekker
69,203584.0,1,Troy Daniels
51,201956.0,1,Omri Casspi
50,203487.0,1,Michael Carter-Williams
43,202692.0,1,Alec Burks
41,1627759.0,1,Jaylen Brown
30,202357.0,1,Nemanja Bjelica
7,1626147.0,1,Justin Anderson
1,203112.0,1,Quincy Acy
135,201150.0,1,Spencer Hawes
205,1627789.0,1,Timothe Luwawu-Cabarrot
200,2733.0,1,Shaun Livingston
258,203939.0,1,Dwight Powell
256,1626171.0,1,Bobby Portis
232,203488.0,1,Mike Muscala
217,203463.0,1,Ben McLemore
206,1626168.0,1,Trey Lyles
260,1627752.0,1,Taurean Prince
259,1626181.0,1,Norman Powell
273,1626179.0,1,Terry Rozier
328,101150.0,0,Lou Williams
329,101150.0,0,Lou Williams
331,201156.0,0,Nick Young
21,203115.0,0,Will Barton
33,202711.0,0,Bojan Bogdanovic
8,201583.0,0,Ryan Anderson
34,202711.0,0,Bojan Bogdanovic
263,200755.0,0,JJ Redick
278,203967.0,0,Dario Saric
171,204020.0,0,Tyler Johnson
64,2037.0,0,Jamal Crawford
57,203903.0,0,Jordan Clarkson
178,1626163.0,0,Frank Kaminsky
238,1717.0,0,Dirk Nowitzki
126,203501.0,0,Tim Hardaway Jr.
199,202391.0,0,Jeremy Lin
181,203930.0,0,Sean Kilpatrick
150,203918.0,0,Rodney Hood
156,101141.0,0,Ersan Ilyasova
157,101141.0,0,Ersan Ilyasova
161,202704.0,0,Reggie Jackson
168,201949.0,0,James Johnson
